load_step,iter,res_l2,res_rms_unknown
1,1,3.28858942e-02,5.67335574e-04
1,2,6.50948007e-03,1.12299200e-04
1,3,2.10181257e-04,3.62597117e-06
2,1,3.25837806e-02,5.62123619e-04
2,2,6.36758935e-03,1.09851353e-04
2,3,2.01362622e-04,3.47383526e-06
3,1,3.24393362e-02,5.59631717e-04
3,2,6.30036509e-03,1.08691624e-04
3,3,1.97693531e-04,3.41053743e-06
4,1,3.22927199e-02,5.57102346e-04
4,2,6.23220485e-03,1.07515748e-04
4,3,2.17398483e-04,3.75048015e-06
5,1,3.21474150e-02,5.54595598e-04
5,2,6.16658246e-03,1.06383654e-04
5,3,1.90318999e-04,3.28331466e-06
6,1,3.20041515e-02,5.52124068e-04
6,2,6.10039616e-03,1.05241832e-04
6,3,1.86691090e-04,3.22072728e-06
7,1,3.18623893e-02,5.49678437e-04
7,2,6.03597844e-03,1.04130521e-04
7,3,1.83435681e-04,3.16456614e-06
8,1,3.17218639e-02,5.47254144e-04
8,2,5.97299077e-03,1.03043880e-04
8,3,1.79936149e-04,3.10419348e-06
9,1,3.15827839e-02,5.44854786e-04
9,2,5.91105269e-03,1.01975347e-04
9,3,1.76691756e-04,3.04822238e-06
10,1,3.14452611e-02,5.42482292e-04
10,2,5.85014699e-03,1.00924624e-04
10,3,1.73502718e-04,2.99320626e-06
11,1,3.13093364e-02,5.40137369e-04
11,2,5.78999380e-03,9.98868827e-05
11,3,1.70381667e-04,2.93936301e-06
12,1,3.11749130e-02,5.37818345e-04
12,2,5.73142990e-03,9.88765596e-05
12,3,1.67424936e-04,2.88835455e-06
13,1,3.10418028e-02,5.35521976e-04
13,2,5.67332422e-03,9.78741413e-05
13,3,1.64497076e-04,2.83784417e-06
14,1,3.09100933e-02,5.33249771e-04
14,2,5.61691495e-03,9.69009889e-05
14,3,1.61688251e-04,2.78938733e-06
15,1,3.07798441e-02,5.31002759e-04
15,2,5.56096854e-03,9.59358216e-05
15,3,1.58873489e-04,2.74082807e-06
16,1,3.06512080e-02,5.28783575e-04
16,2,5.50577790e-03,9.49836926e-05
16,3,1.56201349e-04,2.69472929e-06
17,1,3.05237919e-02,5.26585438e-04
17,2,5.45216398e-03,9.40587647e-05
17,3,1.53841858e-04,2.65402420e-06
18,1,3.03977579e-02,5.24411145e-04
18,2,5.39908698e-03,9.31430994e-05
18,3,1.51036249e-04,2.60562284e-06
19,1,3.02732214e-02,5.22262687e-04
19,2,5.34694549e-03,9.22435732e-05
19,3,1.48581414e-04,2.56327291e-06
20,1,3.01500279e-02,5.20137397e-04
20,2,5.29520074e-03,9.13508915e-05
20,3,1.46061575e-04,2.51980156e-06
21,1,3.00283600e-02,5.18038425e-04
21,2,5.24510164e-03,9.04865999e-05
21,3,1.43793994e-04,2.48068207e-06
